site,source,isbn,title,authors
eksmo,https://eksmo.ru/book/semidnevnyy-plan-ochistki-ot-khlama-vashego-doma-rabochego-mesta-i-vsey-vashey-zhizni-ITD162961/,978-5-699-49066-0,"Семидневный план очистки от хлама вашего дома, рабочего места и всей вашей жизни!",Семухина Е.А.
igra_slov,https://igraslov.store/product/varufakis-ya-tehnofeodalizm-admarginem-myagk/,978-5-91103-874-8,Варуфакис Я. Технофеодализм,Янис Варуфакис
eksmo,https://eksmo.ru/book/departament-kh-pritsel-boga-ITD162960/,978-5-699-52004-6,Департамент «Х». Прицел бога,Самаров С.В.
labirint,https://www.labirint.ru/books/70397/,978-5-88502-590-3,"Пути избавления от болезней: гипертония, диабет...: Иван Неумывакин",Неумывакин Иван Павлович
igra_slov,https://igraslov.store/product/vaskes-h-g-oglyanutsya-nazad-lajvbuk-myagk/,978-5-907784-38-3,Васкес Х. Г. Оглянуться назад,Хуан Габриэль Васкес
eksmo,https://eksmo.ru/book/kholodnye-i-teplye-predmety-ITD162957/,978-5-699-52120-3,Холодные и теплые предметы,Кисельгоф И.
eksmo,https://eksmo.ru/book/trilogiya-zhelaniya-v-odnom-tome-ITD162958/,978-5-699-52150-0,"""Трилогия желания"" в одном томе",Драйзер Т.
igra_slov,https://igraslov.store/product/dara-e-poteryannyj-albom-kongress-w-press-super/,978-5-6046984-3-3,Дара Э. Потерянный альбом,Эван Дара
labirint,https://www.labirint.ru/books/70423/,978-5-346-00766-1,Математика. 5 класс. Рабочая тетрадь № 2. Дробные числа. ФГОС: Виктория Рудницкая,Рудницкая Виктория Наумовна
eksmo,https://eksmo.ru/book/ot-stressa-k-uspekhu-za-31-den-ITD162971/,978-5-699-50380-3,От стресса к успеху за 31 день,
igra_slov,https://igraslov.store/product/danius-s-smert-domohozyajki-i-drugie-teksty-admarginem-myagk/,978-5-91103-604-1,Даниус С. Смерть домохозяйки и другие тексты,Поваляева Н.
eksmo,https://eksmo.ru/book/aleksandr-abdulov-neobyknovennoe-chudo-ITD162966/,978-5-699-52010-7,Александр Абдулов. Необыкновенное чудо,
labirint,https://www.labirint.ru/books/70434/,978-5-09-015907-4,"Французский язык. Второй иностранный язык. 6 кл. Учебник. Комплект из 2-х частей. ФГОС: Селиванова, Шашурина","Селиванова Наталья Алексеевна, Шашурина Алла Юрьевна"
labirint,https://www.labirint.ru/books/70442/,978-5-94776-766-7,Английский язык. Буквы и слова: Татьяна Клементьева,Клементьева Татьяна Борисовна
eksmo,https://eksmo.ru/book/per-gyunt-stikhotvoreniya-ITD162973/,978-5-699-52059-6,Пер Гюнт. Стихотворения,Ибсен Г.
igra_slov,https://igraslov.store/product/margolina-i-dzhek-nikolson-seans-myagk/,978-5-604726 3-6-5,Марголина И. Джек Николсон,Ирина Марголина
eksmo,https://eksmo.ru/book/devyat-zhizney-grety-ITD162972/,978-5-699-51441-0,Девять жизней Греты,Данилова А.В.
eksmo,https://eksmo.ru/book/tot-samyy-yankovskiy-ITD162963/,978-5-699-52005-3,Тот самый Янковский,
eksmo,https://eksmo.ru/book/armiya-napoleona-kniga-3-kollektsionnykh-soldata-v-korobke-ITD162978/,978-5-699-50786-3,Армия Наполеона (книга+3 коллекционных солдата в коробке),
igra_slov,https://igraslov.store/product/dutli-r-divnaya-oliva-kratkoe-kulturologicheskoe-issledovanie-limbah-myagk/,978-5-89059-371-9,Дутли Р. Дивная олива. Краткое культурологическое исследование,Городецкий С.
eksmo,https://eksmo.ru/book/vechnaya-molodost-grafini-ITD162979/,978-5-699-51420-5,Вечная молодость графини,Екатерина Лесина
labirint,https://www.labirint.ru/books/70519/,978-5-9922-0065-2,Империя: Виват Император!; Армагедон: Роман Злотников,Злотников Роман Валерьевич
