site,source,isbn,title,authors
labirint,https://www.labirint.ru/books/76692/,5-02-028308-8,Библиотека литературы Древней Руси. В 20-ти томах. Том 1: XI-XII века,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76693/,5-02-028309-6,Библиотека литературы Древней Руси. В 20-ти томах. Том 2: XI-XII века,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76695/,5-02-028311-8,Библиотека литературы Древней Руси. В 20-ти томах. Том 4: XII век,"Лихачев Дмитрий Сергеевич, Дмитриев Л. А., Алексеев А. А. + еще 1"
labirint,https://www.labirint.ru/books/76694/,978-5-02-039615-9,Библиотека литературы Древней Руси. В 20-ти томах. Том 3: XI-XII века,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76696/,5-02-028312-6,"Библиотека литературы Древней Руси. В 20-ти томах. Том 5. XIII век: Алексеев, Лихачев, Дмитриева","Алексеев А. А., Лихачев Дмитрий Сергеевич, Дмитриева Л. А."
labirint,https://www.labirint.ru/books/76698/,5-02-028354-1,Библиотека литературы Древней Руси. В 20-ти томах. Том 6: XIV - середина XV века,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76703/,5-02-028361-4,Библиотека литературы Древней Руси. В 20-ти томах. Том 7: Вторая половина XV века,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76707/,5-02-028362-2,Библиотека литературы Древней Руси. В 20-ти томах. Том 8. XIV - первая половина XVI века,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А."
labirint,https://www.labirint.ru/books/76710/,5-02-028387-8,Библиотека литературы Древней Руси. В 20-ти томах. Том 9: Конец XV - первая половина XVI века,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76766/,978-5-00136-034-6,Черно-белая графика. Учебное пособие для студентов вузов: Николай Бесчастнов,Бесчастнов Николай Петрович
labirint,https://www.labirint.ru/books/76782/,5-02-028407-6,Библиотека литературы Древней Руси. В 20-ти томах. Том 11: XVI век,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76777/,5-691-00505-7,"Биохимические основы жизнедеятельности человека. Учебное пособие для студентов вузов: Филиппович, Кутузова, Коничев","Филиппович Юрий Борисович, Кутузова Нина Михайловна, Коничев Александр Сергеевич + еще 1"
labirint,https://www.labirint.ru/books/76783/,5-02-028406-8,Библиотека литературы Древней Руси. В 20-ти томах. Том 12: XVI век,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76784/,5-02-028406-0,Библиотека литературы Древней Руси. В 20-ти томах. Том 10. XVI век,"Лихачева Д. С., Дмитриева Л. А., Алексеева А. А. + еще 1"
labirint,https://www.labirint.ru/books/76787/,5-02-027043-1,Опаленный горизонт: Игорь Кравченко,Кравченко Игорь Георгиевич
labirint,https://www.labirint.ru/books/76786/,5-02-025061-9,Всегда впереди. Малые охотники в войне на Черном море. 1941-1944: Владимир Бирюк,Бирюк Владимир Сергеевич
labirint,https://www.labirint.ru/books/76789/,5-02-028272-2,Вертикальное всплытие. Записки подводника: Аркадий Михайловский,Михайловский Аркадий Петрович
